Nơi thực hiện,Vị trí quan trắc,Số lượng mẫu,Số lượng mẫu QC,Ngày
TBNM15,Triều Lên,1,,4
TBNM5,Triều Lên,1,,4
Cầu Tân Thái,Triều Lên,1,,4
TBNM14,Triều Lên,1,,4
TBNM15,Triều Xuống,1,,4
TBNM5,Triều Xuống,1,,4
Cầu Tân Thái,Triều Xuống,1,1,4
TBNM14,Triều Xuống,1,,4
TBNM9,Triều Lên,1,1,4
TBNM11,Triều Lên,1,,4
TBNM1,Triều Lên,1,,4
Thầy Cai,Triều Lên,1,,4
TBNM9,Triều Xuống,1,,4
TBNM11,Triều Xuống,1,,4
TBNM1,Triều Xuống,1,,4
Thầy Cai,Triều Xuống,1,,4
Cầu Chữ Y,Triều Lên,1,,5
Chà Và,Triều Lên,1,,5
Chánh Hưng,Triều Lên,1,,5
Nhị Thiên Đường,Triều Lên,1,,5
Cầu Chữ Y,Triều Xuống,1,,5
Chà Và,Triều Xuống,1,,5
Chánh Hưng,Triều Xuống,1,,5
Nhị Thiên Đường,Triều Xuống,1,,5
Cầu Mống,Triều Lên,1,,5
Tân Thuận,Triều Lên,1,,5
Kênh Tẻ,Triều Lên,1,,5
Cầu Mống,Triều Xuống,1,,5
Tân Thuận,Triều Xuống,1,,5
Kênh Tẻ,Triều Xuống,1,2,5
Kênh N46,Triều Lên,1,,6
Tân Phú Trung,Triều Lên,1,,6
TC18A,Triều Lên,1,,6
An Hạ 1,Triều Lên,1,1,6
Kênh N46,Triều Xuống,1,,6
Tân Phú Trung,Triều Xuống,1,1,6
TC18A,Triều Xuống,1,,6
An Hạ 1,Triều Xuống,1,,6
Cầu Đường A,Triều Lên,1,,7
Trung Tâm,Triều Lên,1,,7
Nước Lên,Triều Lên,1,,7
Lương Bèo,Triều Lên,1,,7
Cầu Đường A,Triều Xuống,1,,7
Trung Tâm,Triều Xuống,1,,7
Nước Lên,Triều Xuống,1,,7
Lương Bèo,Triều Xuống,1,,7
Phú Định,Triều Lên,1,,8
Phú Định,Triều Xuống,1,,8
Hòa Bình,Triều Lên,1,1,8
Ông Buông,Triều Lên,1,,8
Rạch Ngựa,Triều Lên,1,,8
Hòa Bình,Triều Xuống,1,,8
Ông Buông,Triều Xuống,1,,8
Rạch Ngựa,Triều Xuống,1,,8
ĐPNM1,Triều Lên,1,1,11
ĐPNM4,Triều Lên,1,,11
ĐPNM5,Triều Lên,1,,11
ĐPNM8,Triều Lên,1,,11
ĐPNM1,Triều Xuống,1,,11
ĐPNM4,Triều Xuống,1,,11
ĐPNM5,Triều Xuống,1,,11
ĐPNM8,Triều Xuống,1,,11
Bà Lào,Triều Lên,1,1,11
Long Hậu Tân Kim,Triều Lên,1,,11
Phú Xuân,Triều Lên,1,,11
Hiệp Phước,Triều Lên,1,,11
Bà Lào,Triều Xuống,1,,11
Long Hậu Tân Kim,Triều Xuống,1,,11
Phú Xuân,Triều Xuống,1,,11
Hiệp Phước,Triều Xuống,1,,11
Cầu số 1,Triều Lên,1,,12
Lê Văn Sỹ,Triều Lên,1,,12
Hải Đức,Triều Lên,1,,12
Điện Biên Phủ,Triều Lên,1,,12
Bùi Hữu Nghĩa,Triều Lên,1,,12
Cầu số 1,Triều Xuống,1,2,12
Lê Văn Sỹ,Triều Xuống,1,,12
Hải Đức,Triều Xuống,1,,12
Điện Biên Phủ,Triều Xuống,1,,12
Bùi Hữu Nghĩa,Triều Xuống,1,,12
Cầu Đỏ,Triều Lên,1,,12
Thị Nghè 2,Triều Lên,1,,12
Bùi Đình Túy,Triều Lên,1,,12
Cầu Văn Thánh,Triều Lên,1,,12
Cầu Văn Thánh 2,Triều Lên,1,,12
Cầu Đỏ,Triều Xuống,1,1,12
Thị Nghè 2,Triều Xuống,1,,12
Bùi Đình Túy,Triều Xuống,1,,12
Cầu Văn Thánh,Triều Xuống,1,,12
Cầu Văn Thánh 2,Triều Xuống,1,,12
Cầu TL9,Triều Lên,1,,13
Xuân Thới Sơn,Triều Lên,1,,13
Cầu Lớn,Triều Lên,1,,13
An Hạ,Triều Lên,1,,13
Rau Răm,Triều Lên,1,,13
Cầu TL9,Triều Xuống,1,,13
Xuân Thới Sơn,Triều Xuống,1,,13
Cầu Lớn,Triều Xuống,1,,13
An Hạ,Triều Xuống,1,,13
Rau Răm,Triều Xuống,1,1,13
Cống Vàm Thuật,Triều Lên,1,1,14
An Lộc,Triều Lên,1,,14
