Nơi thực hiện;Vị trí quan trắc;Số lượng mẫu;Số lượng mẫu QC lặp;Số lượng mẫu QC trắng;Số lượng mẫu QC;Ngày
Lòng Tàu 1 - HCM_NM_LT1 - Triều Lên;Lòng Tàu 1 - Triều Lên;1;;;;25
Lòng Tàu - HCM_NM_LT - Triều Lên;Lòng Tàu - Triều Lên;1;;;;25
Tam Thôn Hiệp - HCM_NM_TTH - Triều Lên;Tam Thôn Hiệp - Triều Lên;1;;;;25
Đồng Tranh 1 - HCM_NM_ĐT1 - Triều Lên;Đồng Tranh 1 - Triều Lên;1;;;;25
Lòng Tàu 1 - HCM_NM_LT1 - Triều Xuống;Lòng Tàu 1 - Triều Xuống;1;;;;25
Lòng Tàu - HCM_NM_LT - Triều Xuống;Lòng Tàu - Triều Xuống;1;;;;25
Tam Thôn Hiệp - HCM_NM_TTH - Triều Xuống;Tam Thôn Hiệp - Triều Xuống;1;;;;25
Đồng Tranh 1 - HCM_NM_ĐT1 - Triều Xuống;Đồng Tranh 1 - Triều Xuống;1;;;;25
Bình Lợi - HCM_NM_BL - Triều Lên;Bình Lợi - Triều Lên;1;;;;25
Sài Gòn - HCM_NM_SG - Triều Lên;Sài Gòn - Triều Lên;1;;;;25
Bình Lợi - HCM_NM_BL - Triều Xuống;Bình Lợi - Triều Xuống;1;;;;25
Sài Gòn - HCM_NM_SG - Triều Xuống;Sài Gòn - Triều Xuống;1;;;;25
Sài Gòn - HCM_NM_SG - Triều Xuống;Sài Gòn - Triều Xuống (QC - Mẫu lặp hiện trường);1;;;;25
Sài Gòn - HCM_NM_SG - Triều Xuống;Sài Gòn - Triều Xuống (QC - Mẫu trắng thiết bị);1;;;;25
Ngã Bảy - HCM_NM_N7 - Triều Lên;Ngã Bảy - Triều Lên;1;;;;26
Vàm Sát - HCM_NM_VS - Triều Lên;Vàm Sát - Triều Lên;1;;;;26
Đồng Tranh - HCM_NM_ĐT - Triều Lên;Đồng Tranh - Triều Lên;1;;;;26
Ngã Bảy - HCM_NM_N7 - Triều Xuống;Ngã Bảy - Triều Xuống;1;;;;26
Vàm Sát - HCM_NM_VS - Triều Xuống;Vàm Sát - Triều Xuống;1;;;;26
Đồng Tranh - HCM_NM_ĐT - Triều Xuống;Đồng Tranh - Triều Xuống;1;;;;26
Long Phước - HCM_NM_LP - Triều Lên;Long Phước - Triều Lên;1;;;;26
Cát Lái - HCM_NM_CL - Triều Lên;Cát Lái - Triều Lên;1;;;;26
Long Phước - HCM_NM_LP - Triều Xuống;Long Phước - Triều Xuống;1;;;;26
Cát Lái - HCM_NM_CL - Triều Xuống;Cát Lái - Triều Xuống;1;;;;26
Mũi Đèn Đỏ - HCM_NM_MĐĐ - Triều Lên;Mũi Đèn Đỏ - Triều Lên;1;;;;27
Nhà Bè - HCM_NM_NB - Triều Lên;Nhà Bè - Triều Lên;1;;;;27
Phú Mỹ - HCM_NM_PM - Triều Lên;Phú Mỹ - Triều Lên;1;;;;27
Mũi Đèn Đỏ - HCM_NM_MĐĐ - Triều Xuống;Mũi Đèn Đỏ - Triều Xuống;1;;;;27
Nhà Bè - HCM_NM_NB - Triều Xuống;Nhà Bè - Triều Xuống;1;;;;27
Phú Mỹ - HCM_NM_PM - Triều Xuống;Phú Mỹ - Triều Xuống;1;;;;27
