ViTri;KyHIeu;MoTa;LON;LAT
Bình Lợi;HCM_NM_BL;Khu vực Thanh Đa, Phường Bình Quới.;1.196.699,75;605.635,42
Sài Gòn;HCM_NM_SG;Cầu Sài Gòn KTĐ mới Thủ Thiêm Sông Sài Gòn.;1.194.265,69;606.794,18
Phú Mỹ;HCM_NM_PM;Gần cầu Thời Đại, Phường Bình Trưng.;1.191.893,32;608.790,64
Long Phước;HCM_NM_LP;Cách hợp lưu Sông Tắc – Sông Sài Gòn 500m về phía hạ lưu.;1.198.599,54;621.104,30
Cát Lái;HCM_NM_CL;Phà Cát Lái, Phường Thạnh Mỹ Lợi (Sông Đồng Nai trước hợp lưu với sông Sài Gòn).;1.189.674,30;613.351,04
Mũi Đèn Đỏ;HCM_NM_MĐĐ;Mũi Đèn Đỏ, Phường Phú Thuận (Cách hợp lưu của Sông Đồng Nai với sông Sài Gòn 2 km).;1.186.499,20;609.306,56
Nhà Bè;HCM_NM_NB;Phà Bình Khánh, xã Nhà Bè (Thượng lưu ngã ba Đồng Nai Lòng Tàu 600 m).;1.180.829,15;611.273,80
Vàm Sát;HCM_NM_VS;Xã Cần Giờ - Hạ lưu cửa sông Vàm Sát 150m sông Đồng Nai.;1.164.276,35;609.556,49
Lòng Tàu;HCM_NM_LT;Xã Cần Giờ - Cách đoạn phân nhánh sông Lòng Tàu – Đồng Tranh 1,39km.;1.175.435,39;617.748,78
Tam Thôn Hiệp;HCM_NM_TTH;Xã Cần Giờ - Thượng lưu ngã ba Tắc Rỗi 800m sông Lòng Tàu.;1.172.355,55;621.666,14
Lòng Tàu 1;HCM_NM_LT1;Xã Cần Giờ -Sau hợp lưu sông Lòng Tàu, sông Đồng Tranh, sông Dừa 2 km.;1.168.685,01;625.155,92
Ngã Bảy;HCM_NM_N7;Xã Cần Giờ - Gần cửa sông Lòng Tàu 2 km.;1.159.801,38;631.198,95
Đồng Tranh 1;HCM_NM_ĐT1;Xã Cần Giờ - Cách đoạn phân nhánh sông Đồng Tranh thành 3 nhánh nhỏ 1km.;1.172.973,67;628.350,67
Đồng Tranh;HCM_NM_ĐT;Xã Cần Giờ - Cách đoạn phân nhánh sông Đồng Tranh thành 3 nhánh nhỏ 1km.;1.153.538,95;621.122,80
Kênh N46;HCM_NM_N46;Hồ chứa nước kênh Đông, xã Củ Chi;1.210.634,60;581.981,06
Cầu Tân Thái;HCM_NM_CTT;Cầu Tân Thái, TL 822, ranh giới giữa Phường Thái Mỹ và tỉnh Tây Ninh;1.214.551,13;566.886,82
Thầy Cai;HCM_NM_TCa;Tại khu vực cầu Thầy Cai.;1.210.126,64;576.685,08
Tân Phú Trung;HCM_NM_TPT;Dọc đường Tam Tân cách ngã giao kênh Thầy Cai và kênh An Hạ 1km về phía Tây;1.207.364,94;587.510,96
Cầu TL9;HCM_NM_CTL9;Tại khu vực cầu TL9;1.202.589,67;584.626,53
TC18A;HCM_NM_TC18A;Trước cổng công ty Fujifilm;1.207.844,24;588.410,41
An Hạ 1;HCM_NM_AH1;Cầu An Hạ, QL 22;1.207.547,91;588.717,33
Xuân Thới Sơn;HCM_NM_XTS;Dọc đường Thanh Niên đối diện với cơ sở xã hội Nhị Xuân;1.204.048,53;586.562,59
Cầu Lớn;HCM_NM_CLo;Tại khu vực cầu Lớn;1.202.407,50;585.620,26
An Hạ;HCM_NM_AH;Cầu An Hạ, QL 22;1.193.652,81;583.408,63
