Địa điểm quan trắc;Triều;Ký hiệu;Tên viết tắt;Địa chỉ (tiếng Việt);Tên nơi lấy mẫu;Tên vị trí;Tên vị trí mẫu lặp;Tên vị trí mẫu trắng hiện trường;Tên vị trí mẫu trắng vận chuyển;Tên vị trí mẫu trắng thiết bị
Cầu số 1;Triều Lên;HCM_NM_CS1;HCM_NM_CS1_L;Khu vực Cầu số 1, đầu tuyến kênh Nhiêu Lộc – Thị Nghè;Cầu số 1 - HCM_NM_CS1 - Triều Lên;Cầu số 1 - Triều Lên;Cầu số 1 - Triều Lên (QC - Mẫu lặp hiện trường);Cầu số 1 - Triều Lên (QC - Mẫu trắng hiện trường);Cầu số 1 - Triều Lên (QC - Mẫu trắng vận chuyển);Cầu số 1 - Triều Lên (QC - Mẫu trắng thiết bị)
Lê Văn Sỹ;Triều Lên;HCM_NM_LVS;HCM_NM_LVS_L;Khu vực cầu Lê Văn Sỹ, nối đường Lê Văn Sỹ và đường Trần Quốc Thảo;Lê Văn Sỹ - HCM_NM_LVS - Triều Lên;Lê Văn Sỹ - Triều Lên;Lê Văn Sỹ - Triều Lên (QC - Mẫu lặp hiện trường);Lê Văn Sỹ - Triều Lên (QC - Mẫu trắng hiện trường);Lê Văn Sỹ - Triều Lên (QC - Mẫu trắng vận chuyển);Lê Văn Sỹ - Triều Lên (QC - Mẫu trắng thiết bị)
Hải Đức;Triều Lên;HCM_NM_HĐ;HCM_NM_HĐ_L;Đoạn kênh khu vực gần Chùa Hải Đức, phường Cầu Kiệu;Hải Đức - HCM_NM_HĐ - Triều Lên;Hải Đức - Triều Lên;Hải Đức - Triều Lên (QC - Mẫu lặp hiện trường);Hải Đức - Triều Lên (QC - Mẫu trắng hiện trường);Hải Đức - Triều Lên (QC - Mẫu trắng vận chuyển);Hải Đức - Triều Lên (QC - Mẫu trắng thiết bị)
Điện Biên Phủ;Triều Lên;HCM_NM_ĐBP;HCM_NM_ĐBP_L;Khu vực cầu Điện Biên Phủ, gần Vòng xoay Điện Biên Phủ;Điện Biên Phủ - HCM_NM_ĐBP - Triều Lên;Điện Biên Phủ - Triều Lên;Điện Biên Phủ - Triều Lên (QC - Mẫu lặp hiện trường);Điện Biên Phủ - Triều Lên (QC - Mẫu trắng hiện trường);Điện Biên Phủ - Triều Lên (QC - Mẫu trắng vận chuyển);Điện Biên Phủ - Triều Lên (QC - Mẫu trắng thiết bị)
Bùi Đình Túy;Triều Lên;HCM_NM_BĐT;HCM_NM_BĐT_L;Khu vực gần công viên đường số 4, giáp bờ sông, gần đường Chu Văn An, phường Bình Thạnh;Bùi Đình Túy - HCM_NM_BĐT - Triều Lên;Bùi Đình Túy - Triều Lên;Bùi Đình Túy - Triều Lên (QC - Mẫu lặp hiện trường);Bùi Đình Túy - Triều Lên (QC - Mẫu trắng hiện trường);Bùi Đình Túy - Triều Lên (QC - Mẫu trắng vận chuyển);Bùi Đình Túy - Triều Lên (QC - Mẫu trắng thiết bị)
Cầu Đỏ;Triều Lên;HCM_NM_CĐ;HCM_NM_CĐ_L;Khu vực Cầu Đỏ trên đường Nguyễn Xí, đoạn qua rạch Cầu Sơn;Cầu Đỏ - HCM_NM_CĐ - Triều Lên;Cầu Đỏ - Triều Lên;Cầu Đỏ - Triều Lên (QC - Mẫu lặp hiện trường);Cầu Đỏ - Triều Lên (QC - Mẫu trắng hiện trường);Cầu Đỏ - Triều Lên (QC - Mẫu trắng vận chuyển);Cầu Đỏ - Triều Lên (QC - Mẫu trắng thiết bị)
Thị Nghè 2;Triều Lên;HCM_NM_TN2;HCM_NM_TN2_L;Khu vực cầu Thị Nghè 2 trên đường Nguyễn Hữu Cảnh, gần Thảo Cầm Viên;Thị Nghè 2 - HCM_NM_TN2 - Triều Lên;Thị Nghè 2 - Triều Lên;Thị Nghè 2 - Triều Lên (QC - Mẫu lặp hiện trường);Thị Nghè 2 - Triều Lên (QC - Mẫu trắng hiện trường);Thị Nghè 2 - Triều Lên (QC - Mẫu trắng vận chuyển);Thị Nghè 2 - Triều Lên (QC - Mẫu trắng thiết bị)
Bùi Hữu Nghĩa;Triều Lên;HCM_NM_BHN;HCM_NM_BHN_L;Khu vực cầu Bùi Hữu Nghĩa, đoạn rạch Cầu Bông đổ ra kênh Nhiêu Lộc – Thị Nghè;Bùi Hữu Nghĩa - HCM_NM_BHN - Triều Lên;Bùi Hữu Nghĩa - Triều Lên;Bùi Hữu Nghĩa - Triều Lên (QC - Mẫu lặp hiện trường);Bùi Hữu Nghĩa - Triều Lên (QC - Mẫu trắng hiện trường);Bùi Hữu Nghĩa - Triều Lên (QC - Mẫu trắng vận chuyển);Bùi Hữu Nghĩa - Triều Lên (QC - Mẫu trắng thiết bị)
Cầu Văn Thánh;Triều Lên;HCM_NM_RVT;HCM_NM_RVT_L;Khu vực cầu Văn Thánh trên đường Điện Biên Phủ;Cầu Văn Thánh - HCM_NM_RVT - Triều Lên;Cầu Văn Thánh - Triều Lên;Cầu Văn Thánh - Triều Lên (QC - Mẫu lặp hiện trường);Cầu Văn Thánh - Triều Lên (QC - Mẫu trắng hiện trường);Cầu Văn Thánh - Triều Lên (QC - Mẫu trắng vận chuyển);Cầu Văn Thánh - Triều Lên (QC - Mẫu trắng thiết bị)
Cầu Văn Thánh 2;Triều Lên;HCM_NM_RVT2;HCM_NM_RVT2_L;Khu vực cầu Văn Thánh 2 trên đường Nguyễn Hữu Cảnh, đoạn qua rạch Văn Thánh;Cầu Văn Thánh 2 - HCM_NM_RVT2 - Triều Lên;Cầu Văn Thánh 2 - Triều Lên;Cầu Văn Thánh 2 - Triều Lên (QC - Mẫu lặp hiện trường);Cầu Văn Thánh 2 - Triều Lên (QC - Mẫu trắng hiện trường);Cầu Văn Thánh 2 - Triều Lên (QC - Mẫu trắng vận chuyển);Cầu Văn Thánh 2 - Triều Lên (QC - Mẫu trắng thiết bị)
