Địa điểm quan trắc;Triều;Ký hiệu;Tên viết tắt;Địa chỉ (tiếng Việt);Tên nơi lấy mẫu;Tên vị trí;Tên vị trí mẫu lặp;Tên vị trí mẫu trắng hiện trường;Tên vị trí mẫu trắng vận chuyển;Tên vị trí mẫu trắng thiết bị
Kênh Tẻ;Triều Lên;HCM_NM_KT;HCM_NM_KT_L;Khu vực cầu Kênh Tẻ trên đường Nguyễn Hữu Thọ;Kênh Tẻ - HCM_NM_KT - Triều Lên;Kênh Tẻ - Triều Lên;Kênh Tẻ - Triều Lên (QC - Mẫu lặp hiện trường);Kênh Tẻ - Triều Lên (QC - Mẫu trắng hiện trường);Kênh Tẻ - Triều Lên (QC - Mẫu trắng vận chuyển);Kênh Tẻ - Triều Lên (QC - Mẫu trắng thiết bị)
Kênh Tẻ;Triều Xuống;HCM_NM_KT;HCM_NM_KT_X;Khu vực cầu Kênh Tẻ trên đường Nguyễn Hữu Thọ;Kênh Tẻ - HCM_NM_KT - Triều Xuống;Kênh Tẻ - Triều Xuống;Kênh Tẻ - Triều Xuống (QC - Mẫu lặp hiện trường);Kênh Tẻ - Triều Xuống (QC - Mẫu trắng hiện trường);Kênh Tẻ - Triều Xuống (QC - Mẫu trắng vận chuyển);Kênh Tẻ - Triều Xuống (QC - Mẫu trắng thiết bị)
Lê Văn Sỹ;Triều Lên;HCM_NM_LVS;HCM_NM_LVS_L;Khu vực cầu Lê Văn Sỹ, nối đường Lê Văn Sỹ và đường Trần Quốc Thảo;Lê Văn Sỹ - HCM_NM_LVS - Triều Lên;Lê Văn Sỹ - Triều Lên;Lê Văn Sỹ - Triều Lên (QC - Mẫu lặp hiện trường);Lê Văn Sỹ - Triều Lên (QC - Mẫu trắng hiện trường);Lê Văn Sỹ - Triều Lên (QC - Mẫu trắng vận chuyển);Lê Văn Sỹ - Triều Lên (QC - Mẫu trắng thiết bị)
Lê Văn Sỹ;Triều Xuống;HCM_NM_LVS;HCM_NM_LVS_X;Khu vực cầu Lê Văn Sỹ, nối đường Lê Văn Sỹ và đường Trần Quốc Thảo;Lê Văn Sỹ - HCM_NM_LVS - Triều Xuống;Lê Văn Sỹ - Triều Xuống;Lê Văn Sỹ - Triều Xuống (QC - Mẫu lặp hiện trường);Lê Văn Sỹ - Triều Xuống (QC - Mẫu trắng hiện trường);Lê Văn Sỹ - Triều Xuống (QC - Mẫu trắng vận chuyển);Lê Văn Sỹ - Triều Xuống (QC - Mẫu trắng thiết bị)
Long Hậu Tân Kim;Triều Lên;HCM_NM_LHTK;HCM_NM_LHTK_L;Tại bến phà Long Hậu – Tân Kim;Long Hậu Tân Kim - HCM_NM_LHTK - Triều Lên;Long Hậu Tân Kim - Triều Lên;Long Hậu Tân Kim - Triều Lên (QC - Mẫu lặp hiện trường);Long Hậu Tân Kim - Triều Lên (QC - Mẫu trắng hiện trường);Long Hậu Tân Kim - Triều Lên (QC - Mẫu trắng vận chuyển);Long Hậu Tân Kim - Triều Lên (QC - Mẫu trắng thiết bị)
Long Hậu Tân Kim;Triều Xuống;HCM_NM_LHTK;HCM_NM_LHTK_X;Tại bến phà Long Hậu – Tân Kim;Long Hậu Tân Kim - HCM_NM_LHTK - Triều Xuống;Long Hậu Tân Kim - Triều Xuống;Long Hậu Tân Kim - Triều Xuống (QC - Mẫu lặp hiện trường);Long Hậu Tân Kim - Triều Xuống (QC - Mẫu trắng hiện trường);Long Hậu Tân Kim - Triều Xuống (QC - Mẫu trắng vận chuyển);Long Hậu Tân Kim - Triều Xuống (QC - Mẫu trắng thiết bị)
Long Phước;Triều Lên;HCM_NM_LP;HCM_NM_LP_L;Cách hợp lưu Sông Tắc – Sông Sài Gòn 500m về phía hạ lưu.;Long Phước - HCM_NM_LP - Triều Lên;Long Phước - Triều Lên;Long Phước - Triều Lên (QC - Mẫu lặp hiện trường);Long Phước - Triều Lên (QC - Mẫu trắng hiện trường);Long Phước - Triều Lên (QC - Mẫu trắng vận chuyển);Long Phước - Triều Lên (QC - Mẫu trắng thiết bị)
Long Phước;Triều Xuống;HCM_NM_LP;HCM_NM_LP_X;Cách hợp lưu Sông Tắc – Sông Sài Gòn 500m về phía hạ lưu.;Long Phước - HCM_NM_LP - Triều Xuống;Long Phước - Triều Xuống;Long Phước - Triều Xuống (QC - Mẫu lặp hiện trường);Long Phước - Triều Xuống (QC - Mẫu trắng hiện trường);Long Phước - Triều Xuống (QC - Mẫu trắng vận chuyển);Long Phước - Triều Xuống (QC - Mẫu trắng thiết bị)
Lòng Tàu;Triều Lên;HCM_NM_LT;HCM_NM_LT_L;Xã Cần Giờ - Cách đoạn phân nhánh sông Lòng Tàu – Đồng Tranh 1,39km.;Lòng Tàu - HCM_NM_LT - Triều Lên;Lòng Tàu - Triều Lên;Lòng Tàu - Triều Lên (QC - Mẫu lặp hiện trường);Lòng Tàu - Triều Lên (QC - Mẫu trắng hiện trường);Lòng Tàu - Triều Lên (QC - Mẫu trắng vận chuyển);Lòng Tàu - Triều Lên (QC - Mẫu trắng thiết bị)
Lòng Tàu;Triều Xuống;HCM_NM_LT;HCM_NM_LT_X;Xã Cần Giờ - Cách đoạn phân nhánh sông Lòng Tàu – Đồng Tranh 1,39km.;Lòng Tàu - HCM_NM_LT - Triều Xuống;Lòng Tàu - Triều Xuống;Lòng Tàu - Triều Xuống (QC - Mẫu lặp hiện trường);Lòng Tàu - Triều Xuống (QC - Mẫu trắng hiện trường);Lòng Tàu - Triều Xuống (QC - Mẫu trắng vận chuyển);Lòng Tàu - Triều Xuống (QC - Mẫu trắng thiết bị)
