key,Ngày,idx,Nơi thực hiện,Vị trí quan trắc,Ký hiệu,ts
kehoach|0,1,0,Cầu số 1,Triều Lên,HCM_NM_CS1_L,2026-01-30T22:40:25
kehoach|0,1,0,Cầu số 1,Triều Lên,HCM_NM_CS1_L,2026-01-30T22:40:34
kehoach|0,1,0,Cầu số 1,Triều Lên,HCM_NM_CS1_L,2026-01-30T22:40:42
kehoach|1,1,1,Lê Văn Sỹ,Triều Lên,HCM_NM_LVS_L,2026-01-30T22:40:51
kehoach|1,1,1,Lê Văn Sỹ,Triều Lên,HCM_NM_LVS_L,2026-01-30T22:41:00
kehoach|1,1,1,Lê Văn Sỹ,Triều Lên,HCM_NM_LVS_L,2026-01-30T22:41:09
kehoach|2,1,2,Hải Đức,Triều Lên,HCM_NM_HĐ_L,2026-01-30T22:41:18
kehoach|2,1,2,Hải Đức,Triều Lên,HCM_NM_HĐ_L,2026-01-30T22:41:26
kehoach|2,1,2,Hải Đức,Triều Lên,HCM_NM_HĐ_L,2026-01-30T22:41:35
kehoach|3,1,3,Điện Biên Phủ,Triều Lên,HCM_NM_ĐBP_L,2026-01-30T22:41:44
kehoach|3,1,3,Điện Biên Phủ,Triều Lên,HCM_NM_ĐBP_L,2026-01-30T22:41:53
kehoach|3,1,3,Điện Biên Phủ,Triều Lên,HCM_NM_ĐBP_L,2026-01-30T22:42:01
kehoach|4,1,4,Bùi Đình Túy,Triều Lên,HCM_NM_BĐT_L,2026-01-30T22:42:10
kehoach|4,1,4,Bùi Đình Túy,Triều Lên,HCM_NM_BĐT_L,2026-01-30T22:42:19
kehoach|4,1,4,Bùi Đình Túy,Triều Lên,HCM_NM_BĐT_L,2026-01-30T22:42:28
kehoach|5,1,5,Cầu Đỏ,Triều Lên,HCM_NM_CĐ_L,2026-01-30T22:42:37
kehoach|5,1,5,Cầu Đỏ,Triều Lên,HCM_NM_CĐ_L,2026-01-30T22:42:46
kehoach|5,1,5,Cầu Đỏ,Triều Lên,HCM_NM_CĐ_L,2026-01-30T22:42:55
kehoach|6,1,6,Thị Nghè 2,Triều Lên,HCM_NM_TN2_L,2026-01-30T22:43:04
kehoach|6,1,6,Thị Nghè 2,Triều Lên,HCM_NM_TN2_L,2026-01-30T22:43:12
kehoach|6,1,6,Thị Nghè 2,Triều Lên,HCM_NM_TN2_L,2026-01-30T22:43:21
kehoach|7,1,7,Bùi Hữu Nghĩa,Triều Lên,HCM_NM_BHN_L,2026-01-30T22:43:30
kehoach|7,1,7,Bùi Hữu Nghĩa,Triều Lên,HCM_NM_BHN_L,2026-01-30T22:43:39
kehoach|7,1,7,Bùi Hữu Nghĩa,Triều Lên,HCM_NM_BHN_L,2026-01-30T22:43:48
kehoach|8,1,8,Cầu Văn Thánh,Triều Lên,HCM_NM_RVT_L,2026-01-30T22:43:57
kehoach|8,1,8,Cầu Văn Thánh,Triều Lên,HCM_NM_RVT_L,2026-01-30T22:44:06
kehoach|8,1,8,Cầu Văn Thánh,Triều Lên,HCM_NM_RVT_L,2026-01-30T22:44:14
kehoach|9,1,9,Cầu Văn Thánh 2,Triều Lên,HCM_NM_RVT2_L,2026-01-30T22:44:24
kehoach|9,1,9,Cầu Văn Thánh 2,Triều Lên,HCM_NM_RVT2_L,2026-01-30T22:44:33
kehoach|9,1,9,Cầu Văn Thánh 2,Triều Lên,HCM_NM_RVT2_L,2026-01-30T22:44:41
kehoach|10,1,10,Cầu số 1,Triều Xuống,HCM_NM_CS1_X,2026-01-30T22:44:50
kehoach|10,1,10,Cầu số 1,Triều Xuống,HCM_NM_CS1_X,2026-01-30T22:44:59
kehoach|10,1,10,Cầu số 1,Triều Xuống,HCM_NM_CS1_X,2026-01-30T22:45:07
kehoach|11,1,11,Lê Văn Sỹ,Triều Xuống,HCM_NM_LVS_X,2026-01-30T22:45:16
kehoach|11,1,11,Lê Văn Sỹ,Triều Xuống,HCM_NM_LVS_X,2026-01-30T22:45:24
kehoach|11,1,11,Lê Văn Sỹ,Triều Xuống,HCM_NM_LVS_X,2026-01-30T22:45:33
kehoach|12,1,12,Hải Đức,Triều Xuống,HCM_NM_HĐ_X,2026-01-30T22:45:42
kehoach|12,1,12,Hải Đức,Triều Xuống,HCM_NM_HĐ_X,2026-01-30T22:45:51
kehoach|12,1,12,Hải Đức,Triều Xuống,HCM_NM_HĐ_X,2026-01-30T22:46:00
kehoach|13,1,13,Điện Biên Phủ,Triều Xuống,HCM_NM_ĐBP_X,2026-01-30T22:46:09
kehoach|14,1,14,Bùi Đình Túy,Triều Xuống,HCM_NM_BĐT_X,2026-01-30T22:48:57
kehoach|14,1,14,Bùi Đình Túy,Triều Xuống,HCM_NM_BĐT_X,2026-01-30T22:49:06
kehoach|14,1,14,Bùi Đình Túy,Triều Xuống,HCM_NM_BĐT_X,2026-01-30T22:49:14
kehoach|15,1,15,Cầu Đỏ,Triều Xuống,HCM_NM_CĐ_X,2026-01-30T22:49:23
kehoach|15,1,15,Cầu Đỏ,Triều Xuống,HCM_NM_CĐ_X,2026-01-30T22:49:32
kehoach|15,1,15,Cầu Đỏ,Triều Xuống,HCM_NM_CĐ_X,2026-01-30T22:49:40
kehoach|16,1,16,Thị Nghè 2,Triều Xuống,HCM_NM_TN2_X,2026-01-30T22:49:49
kehoach|16,1,16,Thị Nghè 2,Triều Xuống,HCM_NM_TN2_X,2026-01-30T22:49:58
kehoach|16,1,16,Thị Nghè 2,Triều Xuống,HCM_NM_TN2_X,2026-01-30T22:50:07
kehoach|17,1,17,Bùi Hữu Nghĩa,Triều Xuống,HCM_NM_BHN_X,2026-01-30T22:50:15
kehoach|17,1,17,Bùi Hữu Nghĩa,Triều Xuống,HCM_NM_BHN_X,2026-01-30T22:50:24
kehoach|17,1,17,Bùi Hữu Nghĩa,Triều Xuống,HCM_NM_BHN_X,2026-01-30T22:50:32
kehoach|18,1,18,Cầu Văn Thánh,Triều Xuống,HCM_NM_RVT_X,2026-01-30T22:50:41
kehoach|18,1,18,Cầu Văn Thánh,Triều Xuống,HCM_NM_RVT_X,2026-01-30T22:50:50
kehoach|18,1,18,Cầu Văn Thánh,Triều Xuống,HCM_NM_RVT_X,2026-01-30T22:50:59
kehoach|19,1,19,Cầu Văn Thánh 2,Triều Xuống,HCM_NM_RVT2_X,2026-01-30T22:51:07
kehoach|19,1,19,Cầu Văn Thánh 2,Triều Xuống,HCM_NM_RVT2_X,2026-01-30T22:51:16
kehoach|19,1,19,Cầu Văn Thánh 2,Triều Xuống,HCM_NM_RVT2_X,2026-01-30T22:51:25
kehoach|20,2,20,TBNM15,Triều Lên,HCM_NM_TBNM15_L,2026-01-30T22:51:37
kehoach|20,2,20,TBNM15,Triều Lên,HCM_NM_TBNM15_L,2026-01-30T22:51:46
kehoach|20,2,20,TBNM15,Triều Lên,HCM_NM_TBNM15_L,2026-01-30T22:51:55
kehoach|21,2,21,TBNM5,Triều Lên,HCM_NM_TBNM5_L,2026-01-30T22:52:04
kehoach|21,2,21,TBNM5,Triều Lên,HCM_NM_TBNM5_L,2026-01-30T22:52:12
kehoach|21,2,21,TBNM5,Triều Lên,HCM_NM_TBNM5_L,2026-01-30T22:52:22
kehoach|22,2,22,Cầu Tân Thái,Triều Lên,HCM_NM_CTT_L,2026-01-30T22:52:31
