Nơi thực hiện,Vị trí quan trắc,Số lượng mẫu,Số lượng mẫu QC,Ngày,Ký hiệu
Cầu số 1,Triều Lên,1,,12,HCM_NM_CS1_L
Lê Văn Sỹ,Triều Lên,1,,12,HCM_NM_LVS_L
Hải Đức,Triều Lên,1,,12,HCM_NM_HĐ_L
Điện Biên Phủ,Triều Lên,1,,12,HCM_NM_ĐBP_L
Bùi Hữu Nghĩa,Triều Lên,1,,12,HCM_NM_BHN_L
Cầu số 1,Triều Xuống,1,2,12,HCM_NM_CS1_X
Lê Văn Sỹ,Triều Xuống,1,,12,HCM_NM_LVS_X
Hải Đức,Triều Xuống,1,,12,HCM_NM_HĐ_X
Điện Biên Phủ,Triều Xuống,1,,12,HCM_NM_ĐBP_X
Bùi Hữu Nghĩa,Triều Xuống,1,,12,HCM_NM_BHN_X
Cầu Đỏ,Triều Lên,1,,12,HCM_NM_CĐ_L
Thị Nghè 2,Triều Lên,1,,12,HCM_NM_TN2_L
Bùi Đình Túy,Triều Lên,1,,12,HCM_NM_BĐT_L
Cầu Văn Thánh,Triều Lên,1,,12,HCM_NM_RVT_L
Cầu Văn Thánh 2,Triều Lên,1,,12,HCM_NM_RVT2_L
Cầu Đỏ,Triều Xuống,1,1,12,HCM_NM_CĐ_X
Thị Nghè 2,Triều Xuống,1,,12,HCM_NM_TN2_X
Bùi Đình Túy,Triều Xuống,1,,12,HCM_NM_BĐT_X
Cầu Văn Thánh,Triều Xuống,1,,12,HCM_NM_RVT_X
Cầu Văn Thánh 2,Triều Xuống,1,,12,HCM_NM_RVT2_X
