Nơi thực hiện;Vị trí quan trắc;Số lượng mẫu;Số lượng mẫu QC;Ngày
Phú Mỹ;Triều Lên;1;;19
Mũi Đèn Đỏ;Triều Lên;1;;19
Nhà Bè;Triều Lên;1;;19
Phú Mỹ;Triều Xuống;1;;19
Mũi Đèn Đỏ;Triều Xuống;1;;19
Nhà Bè;Triều Xuống;1;1;19
Lòng Tàu;Triều Lên;1;1;23
Tam Thôn Hiệp;Triều Lên;1;;23
Đồng Tranh 1;Triều Lên;1;;23
Lòng Tàu;Triều Xuống;1;;23
Tam Thôn Hiệp;Triều Xuống;1;;23
Đồng Tranh 1;Triều Xuống;1;;23
Lòng Tàu 1;Triều Lên;1;;23
Ngã Bảy;Triều Lên;1;;23
Vàm Sát;Triều Lên;1;;23
Đồng Tranh;Triều Lên;1;;23
Lòng Tàu 1;Triều Xuống;1;;23
Ngã Bảy;Triều Xuống;1;;23
Vàm Sát;Triều Xuống;1;1;23
Đồng Tranh;Triều Xuống;1;;23
Bình Lợi;Triều Lên;1;;24
Sài Gòn;Triều Lên;1;;24
Bình Lợi;Triều Xuống;1;;24
Sài Gòn;Triều Xuống;1;;24
Long Phước;Triều Lên;1;1;24
Cát Lái;Triều Lên;1;;24
Long Phước;Triều Xuống;1;;24
Cát Lái;Triều Xuống;1;;24
