key,Ngày,idx,Nơi thực hiện,Vị trí quan trắc,Ký hiệu,ts
kehoach|0,4,0,TBNM15,Triều Lên,HCM_NM_TBNM15_L,2026-05-02T15:35:03
kehoach|0,4,0,TBNM15,Triều Lên,HCM_NM_TBNM15_L,2026-05-02T15:35:12
kehoach|0,4,0,TBNM15,Triều Lên,HCM_NM_TBNM15_L,2026-05-02T15:35:21
kehoach|1,4,1,TBNM5,Triều Lên,HCM_NM_TBNM5_L,2026-05-02T15:35:30
kehoach|1,4,1,TBNM5,Triều Lên,HCM_NM_TBNM5_L,2026-05-02T15:35:38
kehoach|1,4,1,TBNM5,Triều Lên,HCM_NM_TBNM5_L,2026-05-02T15:35:48
kehoach|2,4,2,Cầu Tân Thái,Triều Lên,HCM_NM_CTT_L,2026-05-02T15:35:57
kehoach|2,4,2,Cầu Tân Thái,Triều Lên,HCM_NM_CTT_L,2026-05-02T15:36:05
kehoach|2,4,2,Cầu Tân Thái,Triều Lên,HCM_NM_CTT_L,2026-05-02T15:36:16
kehoach|3,4,3,TBNM14,Triều Lên,HCM_NM_TBNM14_L,2026-05-02T15:36:25
kehoach|3,4,3,TBNM14,Triều Lên,HCM_NM_TBNM14_L,2026-05-02T15:36:34
kehoach|3,4,3,TBNM14,Triều Lên,HCM_NM_TBNM14_L,2026-05-02T15:36:43
kehoach|4,4,4,TBNM15,Triều Xuống,HCM_NM_TBNM15_X,2026-05-02T15:36:52
kehoach|4,4,4,TBNM15,Triều Xuống,HCM_NM_TBNM15_X,2026-05-02T15:37:01
kehoach|4,4,4,TBNM15,Triều Xuống,HCM_NM_TBNM15_X,2026-05-02T15:37:10
kehoach|5,4,5,TBNM5,Triều Xuống,HCM_NM_TBNM5_X,2026-05-02T15:37:19
kehoach|5,4,5,TBNM5,Triều Xuống,HCM_NM_TBNM5_X,2026-05-02T15:37:28
kehoach|5,4,5,TBNM5,Triều Xuống,HCM_NM_TBNM5_X,2026-05-02T15:37:37
kehoach|6,4,6,Cầu Tân Thái,Triều Xuống,HCM_NM_CTT_X,2026-05-02T15:37:46
kehoach|6,4,6,Cầu Tân Thái,Triều Xuống,HCM_NM_CTT_X,2026-05-02T15:37:55
kehoach|6,4,6,Cầu Tân Thái,Triều Xuống,HCM_NM_CTT_X,2026-05-02T15:38:04
kehoach|7,4,7,TBNM14,Triều Xuống,HCM_NM_TBNM14_X,2026-05-02T15:38:13
kehoach|7,4,7,TBNM14,Triều Xuống,HCM_NM_TBNM14_X,2026-05-02T15:38:21
kehoach|7,4,7,TBNM14,Triều Xuống,HCM_NM_TBNM14_X,2026-05-02T15:38:30
kehoach|8,4,8,TBNM9,Triều Lên,HCM_NM_TBNM9_L,2026-05-02T15:38:39
kehoach|8,4,8,TBNM9,Triều Lên,HCM_NM_TBNM9_L,2026-05-02T15:38:48
kehoach|8,4,8,TBNM9,Triều Lên,HCM_NM_TBNM9_L,2026-05-02T15:38:57
kehoach|9,4,9,TBNM11,Triều Lên,HCM_NM_TBNM11_L,2026-05-02T15:39:06
kehoach|9,4,9,TBNM11,Triều Lên,HCM_NM_TBNM11_L,2026-05-02T15:39:14
kehoach|9,4,9,TBNM11,Triều Lên,HCM_NM_TBNM11_L,2026-05-02T15:39:23
kehoach|10,4,10,TBNM1,Triều Lên,HCM_NM_TBNM1_L,2026-05-02T15:39:32
kehoach|10,4,10,TBNM1,Triều Lên,HCM_NM_TBNM1_L,2026-05-02T15:39:41
kehoach|10,4,10,TBNM1,Triều Lên,HCM_NM_TBNM1_L,2026-05-02T15:39:50
kehoach|11,4,11,Thầy Cai,Triều Lên,HCM_NM_TCa_L,2026-05-02T15:39:59
kehoach|11,4,11,Thầy Cai,Triều Lên,HCM_NM_TCa_L,2026-05-02T15:40:08
kehoach|11,4,11,Thầy Cai,Triều Lên,HCM_NM_TCa_L,2026-05-02T15:40:17
kehoach|12,4,12,TBNM9,Triều Xuống,HCM_NM_TBNM9_X,2026-05-02T15:40:26
kehoach|12,4,12,TBNM9,Triều Xuống,HCM_NM_TBNM9_X,2026-05-02T15:40:35
kehoach|12,4,12,TBNM9,Triều Xuống,HCM_NM_TBNM9_X,2026-05-02T15:40:45
kehoach|13,4,13,TBNM11,Triều Xuống,HCM_NM_TBNM11_X,2026-05-02T15:40:54
kehoach|13,4,13,TBNM11,Triều Xuống,HCM_NM_TBNM11_X,2026-05-02T15:41:03
kehoach|13,4,13,TBNM11,Triều Xuống,HCM_NM_TBNM11_X,2026-05-02T15:41:12
kehoach|14,4,14,TBNM1,Triều Xuống,HCM_NM_TBNM1_X,2026-05-02T15:41:21
kehoach|14,4,14,TBNM1,Triều Xuống,HCM_NM_TBNM1_X,2026-05-02T15:41:30
kehoach|14,4,14,TBNM1,Triều Xuống,HCM_NM_TBNM1_X,2026-05-02T15:41:39
kehoach|15,4,15,Thầy Cai,Triều Xuống,HCM_NM_TCa_X,2026-05-02T15:41:48
kehoach|15,4,15,Thầy Cai,Triều Xuống,HCM_NM_TCa_X,2026-05-02T15:41:57
kehoach|15,4,15,Thầy Cai,Triều Xuống,HCM_NM_TCa_X,2026-05-02T15:42:06
kehoach|16,5,16,Cầu Chữ Y,Triều Lên,HCM_NM_CCY_L,2026-05-02T15:42:19
kehoach|16,5,16,Cầu Chữ Y,Triều Lên,HCM_NM_CCY_L,2026-05-02T15:42:28
kehoach|16,5,16,Cầu Chữ Y,Triều Lên,HCM_NM_CCY_L,2026-05-02T15:42:37
kehoach|17,5,17,Chà Và,Triều Lên,HCM_NM_CV_L,2026-05-02T15:42:46
kehoach|17,5,17,Chà Và,Triều Lên,HCM_NM_CV_L,2026-05-02T15:42:55
kehoach|17,5,17,Chà Và,Triều Lên,HCM_NM_CV_L,2026-05-02T15:43:04
kehoach|18,5,18,Chánh Hưng,Triều Lên,HCM_NM_CH_L,2026-05-02T15:43:14
